Datum,Klicks,Impressionen,CTR,Position
2025-08-15,5,18,27.78%,11.83
2025-08-14,4,12,33.33%,19
2025-08-13,3,11,27.27%,5.27
2025-08-12,9,25,36%,10.08
2025-08-11,10,23,43.48%,4.17
2025-08-10,6,32,18.75%,11.88
2025-08-09,4,19,21.05%,9.74
2025-08-08,13,32,40.62%,4.06
2025-08-07,9,37,24.32%,9.38
2025-08-06,6,18,33.33%,8.28
2025-08-05,5,26,19.23%,10.85
2025-08-04,3,19,15.79%,16.53
2025-08-03,2,22,9.09%,18.36
2025-08-02,1,17,5.88%,20.29
2025-08-01,0,8,0%,11.75
2025-07-31,2,8,25%,16.75
2025-07-30,5,26,19.23%,4
2025-07-29,1,15,6.67%,13.87
2025-07-28,1,16,6.25%,16.81
2025-07-27,6,27,22.22%,7.19
2025-07-26,2,15,13.33%,14.13
2025-07-25,1,7,14.29%,17.86
2025-07-24,3,20,15%,12.9
2025-07-23,1,16,6.25%,16.06
2025-07-22,1,14,7.14%,21.79
2025-07-21,1,8,12.5%,12.25
2025-07-20,1,6,16.67%,10.17
2025-07-19,1,4,25%,25.5
2025-07-18,2,7,28.57%,8.57
2025-07-17,4,14,28.57%,15.57
2025-07-16,2,13,15.38%,9.08
2025-07-15,3,9,33.33%,10.78
2025-07-14,1,5,20%,5.6
2025-07-13,1,2,50%,31
2025-07-12,1,5,20%,18.2
2025-07-11,1,2,50%,1.5
2025-07-10,1,7,14.29%,15.57
2025-07-09,3,3,100%,3
2025-07-08,0,5,0%,15
2025-07-07,0,2,0%,2
2025-07-06,0,8,0%,1.25
2025-07-05,0,1,0%,1
2025-07-04,1,2,50%,1.5
2025-07-03,0,1,0%,67
2025-07-02,0,0,0%,0
2025-07-01,0,0,0%,0
2025-06-30,2,4,50%,2
2025-06-29,2,3,66.67%,1.67
2025-06-28,3,4,75%,1.25
2025-06-27,4,6,66.67%,1.33
2025-06-26,0,0,0%,0
2025-06-25,0,0,0%,0
